Table,Column
factresellersales,ShipDateKey
factresellersales,SalesOrderLineNumber
factresellersales,OrderQuantity
factresellersales,SalesTerritoryKey
factresellersales,CurrencyKey
factresellersales.csv,SalesTerritoryKey
factresellersales.csv,CarrierTrackingNumber
factresellersales.csv,SalesOrderLineNumber
factresellersales.csv,TaxAmt
factresellersales.csv,DueDateKey
factresellersales.csv,CurrencyKey
factresellersales.csv,SalesOrderNumber
factresellersales.csv,Freight
factresellersales.csv,TotalProductCost
factresellersales.csv,DiscountAmount
factresellersales.csv,OrderQuantity
factresellersales.csv,ProductStandardCost
factresellersales.csv,CustomerPONumber
factresellersales.csv,PromotionKey
factresellersales.csv,UnitPriceDiscountPct
factresellersales.csv,ExtendedAmount
factresellersales.csv,ShipDateKey
factresellersales.csv,ResellerKey
factresellersales.csv,RevisionNumber
factresellersales.csv,OrderDateKey
factresellersales.csv,ShipDate
factresellersales.csv,EmployeeKey
factresellersales.csv,OrderDate
factresellersales.csv,SalesAmount
factresellersales.csv,ProductKey
factresellersales.csv,DueDate
factresellersales.csv,UnitPrice
factsalesquota,DateKey
factsalesquota,CalendarQuarter
factsalesquota,CalendarYear
factsalesquota,SalesQuotaKey
factsalesquota,EmployeeKey
factsalesquota,Date
factsalesquota,SalesAmountQuota
factsalesquota.csv,Date
factsalesquota.csv,DateKey
factsalesquota.csv,CalendarQuarter
factsalesquota.csv,EmployeeKey
factsalesquota.csv,CalendarYear
factsalesquota.csv,SalesAmountQuota
factsalesquota.csv,SalesQuotaKey
factsurveyresponse,Date
factsurveyresponse,DateKey
factsurveyresponse.csv,DateKey
factsurveyresponse.csv,Date
internetsalesdatafeed,ProductStandardCost
internetsalesdatafeed,PromotionKey
internetsalesdatafeed,CustomerPONumber
internetsalesdatafeed,ShipDateKey
internetsalesdatafeed,CustomerKey
internetsalesdatafeed,ShipDate
internetsalesdatafeed,ProductKey
internetsalesdatafeed,SalesTerritoryKey
internetsalesdatafeed,RevisionNumber
internetsalesdatafeed,SalesOrderLineNumber
internetsalesdatafeed,CarrierTrackingNumber
internetsalesdatafeed,CurrencyKey
internetsalesdatafeed,DueDateKey
internetsalesdatafeed,Freight
internetsalesdatafeed,SalesAmount
internetsalesdatafeed,SalesOrderNumber
internetsalesdatafeed,TotalProductCost
internetsalesdatafeed,TaxAmt
internetsalesdatafeed,DueDate
internetsalesorderdetailsfeed,OrderDateKey
internetsalesorderdetailsfeed,OrderQuantity
internetsalesorderdetailsfeed,OrderDate
productpricesdetailsfeed,ExtendedAmount
productpricesdetailsfeed,UnitPrice
productpricesdetailsfeed,UnitPriceDiscountPct
productpricesdetailsfeed,DiscountAmount
